Patch 13.18 notes
 Tier:, challenger
 LP:, 1106 LP
 Win-Lose:, 220W 139L
 Winrate:, WR 56%
 Most Played:, Kai'Sa
 KDA:, 2.58:1 KDA
 Avg CS:, CS 33.1 (1.3)
