Rank, IGN, Tier, LP, Win-Lose, Winrate, Most Played, KDA, Avg CS, KP, 
rank 44,lyncas bad kid,challenger,1032 LP,101W 74L,WR 58%,Lee Sin,4.17:1 KDA,CS 139.2 (5.2),
rank 45,kronotrop lover,challenger,1028 LP,160W 130L,WR 55%,Syndra,3.1:1 KDA,CS 204.5 (8.1),
rank 46,BDS xMatty,challenger,1017 LP,130W 107L,WR 55%,Xayah,2.88:1 KDA,CS 216.1 (8.6),
rank 47,soz,challenger,1017 LP,134W 112L,WR 54%,Rumble,2.84:1 KDA,CS 182.3 (7.2),
rank 48,CzekøChad,challenger,1016 LP,104W 75L,WR 58%,Ahri,3.04:1 KDA,CS 199.8 (7.8),
rank 49,Jordæn,challenger,1016 LP,141W 107L,WR 57%,Pantheon,2.27:1 KDA,CS 155.2 (6.3),
rank 50,Findteam ADking9,challenger,1016 LP,225W 198L,WR 53%,Ashe,2.82:1 KDA,CS 133.8 (5.6),
rank 51,VELJA THE MENACE,challenger,1016 LP,87W 54L,WR 62%,Lee Sin,2.58:1 KDA,CS 169.5 (6.1),
rank 52,1V9 CRACKMACHlNE,challenger,1008 LP,167W 132L,WR 56%,Lillia,4.56:1 KDA,CS 198.8 (7.7),
rank 53,Badlulu00,challenger,1008 LP,132W 104L,WR 56%,Jax,2.29:1 KDA,CS 185 (7.8),
rank 54,twtchtv detdert,challenger,1004 LP,155W 120L,WR 56%,Kindred,3:1 KDA,CS 152.2 (6.3),
rank 55,JunSickUM,challenger,1000 LP,91W 65L,WR 58%,Gragas,2.43:1 KDA,CS 137.4 (5.4),
rank 56,c0cky movement,challenger,999 LP,125W 94L,WR 57%,Tristana,3.04:1 KDA,CS 227.3 (9.1),
rank 57,V1WTZAPCIO,challenger,997 LP,112W 65L,WR 63%,Aatrox,3.05:1 KDA,CS 188.9 (8.2),
rank 58,avarice61,challenger,996 LP,120W 95L,WR 56%,Aphelios,2.66:1 KDA,CS 221 (8.4),
rank 59,Incandescence33,challenger,986 LP,111W 85L,WR 57%,Ahri,3.86:1 KDA,CS 200.6 (8.5),
rank 60,AST 113,challenger,984 LP,133W 116L,WR 53%,Viego,3.19:1 KDA,CS 116.4 (4.7),
rank 61,Hido1,challenger,981 LP,84W 50L,WR 63%,Zeri,3.29:1 KDA,CS 223 (9),
rank 62,Carrry,challenger,975 LP,116W 86L,WR 57%,Rell,3.97:1 KDA,CS 31.8 (1.3),
