Rank, IGN, Tier, LP, Win-Lose, Winrate, Most Played, KDA, Avg CS, KP, 
rank 1,Doss not worlds,challenger,2019 LP,220W 139L,WR 61%,Alistar,4.36:1 KDA,CS 25.8 (1),
rank 2,Pipibaat Yarr,challenger,1857 LP,196W 137L,WR 59%,Bel'Veth,3.69:1 KDA,CS 169.6 (7),
rank 3,hovinko z kose,challenger,1797 LP,155W 101L,WR 61%,Kai'Sa,2.93:1 KDA,CS 226.8 (8.7),
rank 4,KC NEXT ADKING,challenger,1762 LP,173W 127L,WR 58%,Kai'Sa,3.51:1 KDA,CS 223.1 (8.9),
rank 5,TakeSet sama,challenger,1754 LP,184W 134L,WR 58%,Ezreal,4.06:1 KDA,CS 218.9 (8.6),
